video_id,sequence_path,num_frames,feature_dim,label_id,label_name,actor
01-01-01-01-01-01-01,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-01.npy,5,2048,0,neutral,1
01-01-01-01-01-01-02,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-02.npy,5,2048,0,neutral,2
01-01-01-01-01-01-03,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-03.npy,5,2048,0,neutral,3
01-01-01-01-01-01-04,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-04.npy,5,2048,0,neutral,4
01-01-01-01-01-01-05,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-05.npy,5,2048,0,neutral,5
01-01-01-01-01-01-06,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-06.npy,5,2048,0,neutral,6
01-01-01-01-01-01-07,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-07.npy,5,2048,0,neutral,7
01-01-01-01-01-01-08,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-08.npy,5,2048,0,neutral,8
01-01-01-01-01-01-09,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-09.npy,5,2048,0,neutral,9
01-01-01-01-01-01-10,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-10.npy,5,2048,0,neutral,10
01-01-01-01-01-01-11,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-11.npy,5,2048,0,neutral,11
01-01-01-01-01-01-12,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-12.npy,5,2048,0,neutral,12
01-01-01-01-01-01-13,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-13.npy,5,2048,0,neutral,13
01-01-01-01-01-01-14,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-14.npy,5,2048,0,neutral,14
01-01-01-01-01-01-16,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-16.npy,5,2048,0,neutral,16
01-01-01-01-01-01-17,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-17.npy,5,2048,0,neutral,17
01-01-01-01-01-01-18,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-18.npy,5,2048,0,neutral,18
01-01-01-01-01-01-19,D:\Ravdess\fusion_pack_5f\sequences\01-01-01-01-01-01-19.npy,5,2048,0,neutral,19
