path,label_id,label_name,actor,sample_id,emotion_code,resolved_image_path,embedding_path,feature_dim
01-01-01-01-01-01-01_f000011.png,0,neutral,1,01-01-01-01-01-01-01_f000011,01,D:\Ravdess\ravdess_face_png\01-01-01-01-01-01-01_f000011.png,D:\Ravdess\fusion_pack_5f\embeddings\01-01-01-01-01-01-01_f000011.npy,2048
01-01-01-01-01-01-01_f000022.png,0,neutral,1,01-01-01-01-01-01-01_f000022,01,D:\Ravdess\ravdess_face_png\01-01-01-01-01-01-01_f000022.png,D:\Ravdess\fusion_pack_5f\embeddings\01-01-01-01-01-01-01_f000022.npy,2048
01-01-01-01-01-01-01_f000044.png,0,neutral,1,01-01-01-01-01-01-01_f000044,01,D:\Ravdess\ravdess_face_png\01-01-01-01-01-01-01_f000044.png,D:\Ravdess\fusion_pack_5f\embeddings\01-01-01-01-01-01-01_f000044.npy,2048
01-01-01-01-01-01-01_f000065.png,0,neutral,1,01-01-01-01-01-01-01_f000065,01,D:\Ravdess\ravdess_face_png\01-01-01-01-01-01-01_f000065.png,D:\Ravdess\fusion_pack_5f\embeddings\01-01-01-01-01-01-01_f000065.npy,2048
01-01-01-01-01-01-01_f000076.png,0,neutral,1,01-01-01-01-01-01-01_f000076,01,D:\Ravdess\ravdess_face_png\01-01-01-01-01-01-01_f000076.png,D:\Ravdess\fusion_pack_5f\embeddings\01-01-01-01-01-01-01_f000076.npy,2048
01-01-01-01-01-01-02_f000012.png,0,neutral,2,01-01-01-01-01-01-02_f000012,01,D:\Ravdess\ravdess_face_png\01-01-01-01-01-01-02_f000012.png,D:\Ravdess\fusion_pack_5f\embeddings\01-01-01-01-01-01-02_f000012.npy,2048
01-01-01-01-01-01-02_f000024.png,0,neutral,2,01-01-01-01-01-01-02_f000024,01,D:\Ravdess\ravdess_face_png\01-01-01-01-01-01-02_f000024.png,D:\Ravdess\fusion_pack_5f\embeddings\01-01-01-01-01-01-02_f000024.npy,2048
01-01-01-01-01-01-02_f000048.png,0,neutral,2,01-01-01-01-01-01-02_f000048,01,D:\Ravdess\ravdess_face_png\01-01-01-01-01-01-02_f000048.png,D:\Ravdess\fusion_pack_5f\embeddings\01-01-01-01-01-01-02_f000048.npy,2048
01-01-01-01-01-01-02_f000072.png,0,neutral,2,01-01-01-01-01-01-02_f000072,01,D:\Ravdess\ravdess_face_png\01-01-01-01-01-01-02_f000072.png,D:\Ravdess\fusion_pack_5f\embeddings\01-01-01-01-01-01-02_f000072.npy,2048
01-01-01-01-01-01-02_f000084.png,0,neutral,2,01-01-01-01-01-01-02_f000084,01,D:\Ravdess\ravdess_face_png\01-01-01-01-01-01-02_f000084.png,D:\Ravdess\fusion_pack_5f\embeddings\01-01-01-01-01-01-02_f000084.npy,2048
