av_key,split,actor_id,label_id,label_name,emotion_code,audio_sample_id,audio_path,video_sample_id,video_path,ppg_csv_path
1_01,train,1,0,neutral,neutral,audio_1_01,data/raw/custom/audio/audio_1_01.wav,video_1_01,data/raw/custom/video/video_1_01.mp4,data/raw/custom/ppg/ppg_1_01.csv
1_02,train,1,6,surprise,surprise,audio_1_02,data/raw/custom/audio/audio_1_02.wav,video_1_02,data/raw/custom/video/video_1_02.mp4,data/raw/custom/ppg/ppg_1_02.csv
1_03,train,1,0,neutral,neutral,audio_1_03,data/raw/custom/audio/audio_1_03.wav,video_1_03,data/raw/custom/video/video_1_03.mp4,data/raw/custom/ppg/ppg_1_03.csv
1_04,train,1,4,fearful,fearful,audio_1_04,data/raw/custom/audio/audio_1_04.wav,video_1_04,data/raw/custom/video/video_1_04.mp4,data/raw/custom/ppg/ppg_1_04.csv
1_05,train,1,0,neutral,neutral,audio_1_05,data/raw/custom/audio/audio_1_05.wav,video_1_05,data/raw/custom/video/video_1_05.mp4,data/raw/custom/ppg/ppg_1_05.csv
1_06,train,1,1,happy,happy,audio_1_06,data/raw/custom/audio/audio_1_06.wav,video_1_06,data/raw/custom/video/video_1_06.mp4,data/raw/custom/ppg/ppg_1_06.csv
1_07,train,1,3,angry,angry,audio_1_07,data/raw/custom/audio/audio_1_07.wav,video_1_07,data/raw/custom/video/video_1_07.mp4,data/raw/custom/ppg/ppg_1_07.csv
1_08,train,1,5,disgust,disgust,audio_1_08,data/raw/custom/audio/audio_1_08.wav,video_1_08,data/raw/custom/video/video_1_08.mp4,data/raw/custom/ppg/ppg_1_08.csv
1_09,train,1,4,fearful,fearful,audio_1_09,data/raw/custom/audio/audio_1_09.wav,video_1_09,data/raw/custom/video/video_1_09.mp4,data/raw/custom/ppg/ppg_1_09.csv
1_10,train,1,1,happy,happy,audio_1_10,data/raw/custom/audio/audio_1_10.wav,video_1_10,data/raw/custom/video/video_1_10.mp4,data/raw/custom/ppg/ppg_1_10.csv
1_11,train,1,4,fearful,fearful,audio_1_11,data/raw/custom/audio/audio_1_11.wav,video_1_11,data/raw/custom/video/video_1_11.mp4,data/raw/custom/ppg/ppg_1_11.csv
1_12,train,1,5,disgust,disgust,audio_1_12,data/raw/custom/audio/audio_1_12.wav,video_1_12,data/raw/custom/video/video_1_12.mp4,data/raw/custom/ppg/ppg_1_12.csv
1_13,train,1,7,calm,calm,audio_1_13,data/raw/custom/audio/audio_1_13.wav,video_1_13,data/raw/custom/video/video_1_13.mp4,data/raw/custom/ppg/ppg_1_13.csv
1_14,train,1,1,happy,happy,audio_1_14,data/raw/custom/audio/audio_1_14.wav,video_1_14,data/raw/custom/video/video_1_14.mp4,data/raw/custom/ppg/ppg_1_14.csv
1_15,train,1,1,happy,happy,audio_1_15,data/raw/custom/audio/audio_1_15.wav,video_1_15,data/raw/custom/video/video_1_15.mp4,data/raw/custom/ppg/ppg_1_15.csv
1_16,train,1,4,fearful,fearful,audio_1_16,data/raw/custom/audio/audio_1_16.wav,video_1_16,data/raw/custom/video/video_1_16.mp4,data/raw/custom/ppg/ppg_1_16.csv
