av_key,sample_id,stem,video_path,actor_id,split,emotion_code,label_id,label_name,intensity_code,statement_code,repetition_code,sequence_video_id,sequence_video_id_source,sequence_path,sequence_num_frames,sequence_feature_dim,prediction_video_id,prediction_video_id_source,prediction_frame_count,pred_id,pred_name,prob_neutral,prob_calm,prob_happy,prob_sad,prob_angry,prob_fearful,prob_disgust,prob_surprise,has_sequence,has_prediction,late_fusion_ready,artifact_status
1_1,video_1_01,video_1_01,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_01.mp4,1,train,01,0,neutral,01,01,01,video_1_01,custom_inference,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_01.npy,5,2048,video_1_01,custom_inference,5,0,neutral,0.3468371033668518,0.04599467292428017,0.07965452969074249,0.19076472520828247,0.1684190034866333,0.022424498572945595,0.06270217895507812,0.0832032710313797,1,1,1,complete
1_2,video_1_02,video_1_02,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_02.mp4,1,train,07,6,disgust,01,01,01,video_1_02,custom_inference,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_02.npy,5,2048,video_1_02,custom_inference,5,0,neutral,0.5250152349472046,0.03146549314260483,0.07047628611326218,0.07755755633115768,0.1504572182893753,0.015893690288066864,0.04478110745549202,0.08435333520174026,1,1,1,complete
1_3,video_1_03,video_1_03,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_03.mp4,1,train,01,0,neutral,01,01,01,video_1_03,custom_inference,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_03.npy,5,2048,video_1_03,custom_inference,5,0,neutral,0.4124976098537445,0.04385564476251602,0.06610913574695587,0.057911984622478485,0.2673583924770355,0.01873694732785225,0.04726765304803848,0.08626264333724976,1,1,1,complete
1_4,video_1_04,video_1_04,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_04.mp4,1,train,05,4,angry,01,01,01,video_1_04,custom_inference,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_04.npy,5,2048,video_1_04,custom_inference,5,0,neutral,0.4895086884498596,0.039336398243904114,0.06938232481479645,0.0771782398223877,0.16862860321998596,0.01735709048807621,0.04330114647746086,0.09530746191740036,1,1,1,complete
1_5,video_1_05,video_1_05,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_05.mp4,1,train,01,0,neutral,01,01,01,video_1_05,custom_inference,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_05.npy,5,2048,video_1_05,custom_inference,5,0,neutral,0.4786955714225769,0.04591862112283707,0.06400184333324432,0.06447754800319672,0.1950831562280655,0.022025158628821373,0.05163102224469185,0.07816711813211441,1,1,1,complete
1_6,video_1_06,video_1_06,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_06.mp4,1,train,02,1,calm,01,01,01,video_1_06,custom_inference,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_06.npy,5,2048,video_1_06,custom_inference,5,0,neutral,0.3212149739265442,0.05653061345219612,0.08053512871265411,0.11670675128698349,0.2516110837459564,0.02507879212498665,0.0759185180068016,0.0724041610956192,1,1,1,complete
1_7,video_1_07,video_1_07,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_07.mp4,1,train,04,3,sad,01,01,01,video_1_07,custom_inference,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_07.npy,5,2048,video_1_07,custom_inference,5,0,neutral,0.4065163731575012,0.05408904701471329,0.06872745603322983,0.07234357297420502,0.23293423652648926,0.026236364617943764,0.060977041721343994,0.0781758576631546,1,1,1,complete
1_8,video_1_08,video_1_08,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_08.mp4,1,train,06,5,fearful,01,01,01,video_1_08,custom_inference,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_08.npy,5,2048,video_1_08,custom_inference,5,0,neutral,0.46952810883522034,0.04051097109913826,0.06310661137104034,0.05147872492671013,0.23910364508628845,0.022356847301125526,0.04509616643190384,0.06881889700889587,1,1,1,complete
1_9,video_1_09,video_1_09,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_09.mp4,1,train,05,4,angry,01,01,01,video_1_09,custom_inference,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_09.npy,5,2048,video_1_09,custom_inference,5,0,neutral,0.46551409363746643,0.04329565539956093,0.07272633910179138,0.07751917093992233,0.171573206782341,0.01970740035176277,0.05829213187098503,0.09137199819087982,1,1,1,complete
1_10,video_1_10,video_1_10,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_10.mp4,1,train,02,1,calm,01,01,01,video_1_10,custom_inference,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_10.npy,5,2048,video_1_10,custom_inference,5,0,neutral,0.533586323261261,0.04151562973856926,0.056486524641513824,0.062365055084228516,0.163042351603508,0.02066664583981037,0.044680576771497726,0.07765692472457886,1,1,1,complete
