av_key,split,actor_id,label_id,label_name,emotion_code,intensity_code,statement_code,repetition_code,audio_sample_id,audio_wav_path,audio_pred_id,audio_pred_name,audio_embedding_path,audio_embedding_dim,video_sample_id,video_path,video_pred_id,video_pred_name,video_sequence_path,video_sequence_num_frames,video_sequence_feature_dim,video_sequence_source,video_prediction_source,audio_prob_neutral,audio_prob_calm,audio_prob_happy,audio_prob_sad,audio_prob_angry,audio_prob_fearful,audio_prob_disgust,audio_prob_surprise,video_prob_neutral,video_prob_calm,video_prob_happy,video_prob_sad,video_prob_angry,video_prob_fearful,video_prob_disgust,video_prob_surprise
1_1,train,1,0,neutral,01,01,01,01,audio_1_01,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_01.wav,6,disgust,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_01.npy,96,video_1_01,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_01.mp4,0,neutral,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_01.npy,5,2048,custom_inference,custom_inference,0.101182,0.145547,0.128653,0.127816,0.160219,0.096529,0.161987,0.078067,0.3468371033668518,0.04599467292428017,0.07965452969074249,0.19076472520828247,0.1684190034866333,0.022424498572945595,0.06270217895507812,0.0832032710313797
1_10,train,1,1,calm,02,01,01,01,audio_1_10,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_10.wav,4,angry,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_10.npy,96,video_1_10,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_10.mp4,0,neutral,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_10.npy,5,2048,custom_inference,custom_inference,0.09275,0.144684,0.135023,0.118738,0.178,0.096233,0.153774,0.080799,0.533586323261261,0.04151562973856926,0.056486524641513824,0.062365055084228516,0.163042351603508,0.02066664583981037,0.044680576771497726,0.07765692472457886
1_11,train,1,4,angry,05,01,01,01,audio_1_11,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_11.wav,4,angry,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_11.npy,96,video_1_11,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_11.mp4,0,neutral,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_11.npy,5,2048,custom_inference,custom_inference,0.100676,0.146872,0.131416,0.112558,0.186303,0.097552,0.146898,0.077724,0.39393118023872375,0.05119515582919121,0.06583543121814728,0.07043943554162979,0.26984214782714844,0.023509258404374123,0.0635051503777504,0.06174226850271225
1_12,train,1,5,fearful,06,01,01,01,audio_1_12,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_12.wav,4,angry,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_12.npy,96,video_1_12,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_12.mp4,0,neutral,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_12.npy,5,2048,custom_inference,custom_inference,0.092087,0.156387,0.143667,0.113794,0.17536,0.105818,0.135828,0.077059,0.49804219603538513,0.03888357803225517,0.0533825159072876,0.053462762385606766,0.20184704661369324,0.021773219108581543,0.047322578728199005,0.08528612554073334
1_13,train,1,7,surprise,08,01,01,01,audio_1_13,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_13.wav,4,angry,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_13.npy,96,video_1_13,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_13.mp4,0,neutral,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_13.npy,5,2048,custom_inference,custom_inference,0.089919,0.160984,0.149706,0.112799,0.161774,0.097803,0.146668,0.080346,0.48680734634399414,0.039817698299884796,0.058582257479429245,0.16399875283241272,0.10035474598407745,0.01725233532488346,0.06255924701690674,0.07062757015228271
1_14,train,1,1,calm,02,01,01,01,audio_1_14,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_14.wav,4,angry,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_14.npy,96,video_1_14,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_14.mp4,0,neutral,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_14.npy,5,2048,custom_inference,custom_inference,0.09618,0.163325,0.136281,0.11193,0.169677,0.101154,0.145039,0.076413,0.3681923449039459,0.0491456463932991,0.08254708349704742,0.09224548190832138,0.24648745357990265,0.023882627487182617,0.07901398092508316,0.05848538875579834
1_15,train,1,1,calm,02,01,01,01,audio_1_15,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_15.wav,1,calm,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_15.npy,96,video_1_15,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_15.mp4,0,neutral,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_15.npy,5,2048,custom_inference,custom_inference,0.097552,0.179318,0.143728,0.10654,0.165356,0.102252,0.132046,0.073209,0.244044229388237,0.05274419113993645,0.12460049241781235,0.17764469981193542,0.17150691151618958,0.02587539330124855,0.0854158103466034,0.11816829442977905
1_16,train,1,4,angry,05,01,01,01,audio_1_16,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_16.wav,1,calm,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_16.npy,96,video_1_16,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_16.mp4,4,angry,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_16.npy,5,2048,custom_inference,custom_inference,0.094248,0.16756,0.143819,0.110024,0.158489,0.111329,0.140877,0.073654,0.28882384300231934,0.03685475140810013,0.07783617824316025,0.07944152504205704,0.3292384147644043,0.02215525321662426,0.07132593542337418,0.09432406723499298
1_17,train,1,4,angry,05,01,01,01,audio_1_17,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_17.wav,4,angry,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_17.npy,96,video_1_17,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_17.mp4,0,neutral,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_17.npy,5,2048,custom_inference,custom_inference,0.091914,0.160095,0.140363,0.115083,0.162467,0.098463,0.151728,0.079887,0.37778499722480774,0.048603206872940063,0.06356796622276306,0.08166022598743439,0.24006187915802002,0.024242114275693893,0.055291395634412766,0.10878826677799225
1_18,train,1,5,fearful,06,01,01,01,audio_1_18,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/audio/audio_1_18.wav,4,angry,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/audio/embeddings_ecapa_custom/train/audio_1_18.npy,96,video_1_18,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/raw/custom/video/video_1_18.mp4,0,neutral,C:/Users/User/OneDrive/桌面/Project_SystemA/ravdess_avfusion/data/processed/video/sequences_custom/video_1_18.npy,5,2048,custom_inference,custom_inference,0.097507,0.165417,0.131083,0.121224,0.168195,0.111294,0.132276,0.073004,0.3337053656578064,0.034252315759658813,0.06675595790147781,0.08906853199005127,0.2844443917274475,0.02095567062497139,0.06528173387050629,0.10553602874279022
